playerid,birthyear,birthcountry,deathyear,namefirst,namelast,weight,height,bats,throws
anderbo01,1935.0,USA,2015.0,Bob,Anderson,210.0,76.0,R,R
anderbr01,1964.0,USA,,Brady,Anderson,170.0,73.0,L,L
anderbr02,1972.0,USA,,Brian,Anderson,190.0,73.0,B,L
anderbr03,1982.0,USA,,Brian,Anderson,220.0,74.0,R,R
anderbr04,1988.0,USA,,Brett,Anderson,230.0,75.0,L,L
anderbr05,1986.0,USA,,Bryan,Anderson,200.0,73.0,L,R
anderbr06,1993.0,USA,,Brian,Anderson,185.0,75.0,R,R
anderbu01,1956.0,USA,,Bud,Anderson,210.0,75.0,R,R
anderch01,1987.0,USA,,Chase,Anderson,200.0,73.0,R,R
anderco01,1990.0,USA,,Cody,Anderson,240.0,76.0,R,R
andercr01,1938.0,USA,,Craig,Anderson,205.0,74.0,R,R
anderda01,1868.0,USA,1897.0,Dave,Anderson,,,,L
anderda02,1960.0,USA,,Dave,Anderson,185.0,74.0,R,R
anderdr01,1981.0,USA,,Drew,Anderson,195.0,74.0,L,R
anderdr02,1994.0,USA,,Drew,Anderson,185.0,75.0,R,R
anderdw01,1947.0,USA,,Dwain,Anderson,165.0,71.0,R,R
anderfe01,1918.0,USA,1978.0,Ferrell,Anderson,200.0,73.0,R,R
anderfr01,1885.0,USA,1957.0,Fred,Anderson,180.0,74.0,R,R
anderga01,1972.0,USA,,Garret,Anderson,190.0,75.0,L,L
anderge01,1889.0,USA,1962.0,George,Anderson,160.0,68.0,L,R
andergo01,1880.0,USA,1923.0,Goat,Anderson,,,L,R
anderha01,1904.0,USA,1974.0,Hal,Anderson,160.0,71.0,R,R
anderha02,1931.0,USA,1998.0,Harry,Anderson,205.0,75.0,L,R
anderja01,1979.0,USA,,Jason,Anderson,188.0,72.0,L,R
anderji01,1957.0,USA,,Jim,Anderson,170.0,72.0,R,R
anderji02,1976.0,USA,,Jimmy,Anderson,195.0,73.0,L,L
anderjo01,1873.0,Norway,1949.0,John,Anderson,180.0,74.0,B,R
anderjo02,1929.0,USA,1998.0,John,Anderson,190.0,73.0,R,R
anderjo03,1982.0,USA,,Josh,Anderson,195.0,74.0,L,R
anderke01,1963.0,USA,,Kent,Anderson,180.0,73.0,R,R
anderla01,1952.0,USA,,Larry,Anderson,190.0,75.0,R,R
anderla02,1953.0,USA,,Larry,Andersen,200.0,75.0,R,R
anderla03,1987.0,USA,,Lars,Anderson,215.0,76.0,L,L
anderma01,1976.0,USA,,Matt,Anderson,200.0,76.0,R,R
anderma02,1974.0,USA,,Marlon,Anderson,190.0,70.0,L,R
andermi01,1951.0,USA,,Mike,Anderson,200.0,74.0,R,R
andermi02,1966.0,USA,,Mike,Anderson,200.0,75.0,R,R
anderre01,1912.0,USA,1972.0,Red,Anderson,210.0,75.0,R,R
anderri01,1953.0,USA,1989.0,Rick,Anderson,210.0,74.0,R,R
anderri02,1956.0,USA,,Rick,Anderson,175.0,72.0,R,R
andersc01,1962.0,USA,,Scott,Anderson,190.0,78.0,R,R
andersp01,1934.0,USA,2010.0,Sparky,Anderson,170.0,69.0,R,R
anderti01,1993.0,USA,,Tim,Anderson,185.0,73.0,R,R
anderty01,1989.0,USA,,Tyler,Anderson,210.0,76.0,L,L
anderva01,1866.0,USA,1941.0,Varney,Anderson,165.0,70.0,R,R
